	Date	West Income	NorthEast Income	South Income	MidWest Income	NorthEast HP	MidWest HP	West HP	South HP	Avg West HP Chg	West Income Chg	Avg West HP Chg (Norm)	West Income Chg (Norm)	Avg NorthEast HP Chg	NorthEast Income Chg	Avg NorthEast HP Chg (Norm)	NorthEast Income Chg (Norm)	Avg MidWest HP Chg	MidWest Income Chg	Avg MidWest HP Chg (Norm)	MidWest Income Chg (Norm)	Avg South HP Chg	South Income Chg	Avg South HP Chg (Norm)	South Income Chg (Norm)
31	1/1/2006	98571	106790	87193	91471	427400	255825	409325	254125	0.060084169634185836	0.025286041189931385	0.00048717752613321175	0.014458159119621885	0.07359959809093186	0.03388517765514565	0.008329765413007603	0.021293674847284328	0.04280036686028743	0.009747427915397289	-0.007671989262047818	-0.00011984882794419636	0.05775234131113427	0.02117467939333606	0.004775262585491845	0.009985081607866153
32	1/1/2007	98655	102324	87074	91822	440600	252500	401300	265750	-0.01960544799364805	0.0008521776181635854	-0.07920244010170067	-0.009975704452145915	0.030884417407580633	-0.04182039516808689	-0.034385415270343625	-0.05441189797594821	-0.012997166031466834	0.0038372817614324983	-0.06346952215380208	-0.006029994981908987	0.045745204131824924	-0.00136478845778909	-0.007231874593817501	-0.012554386243258997
33	1/1/2008	97693	101260	84047	87233	463750	245950	362150	250075	-0.09755793670570645	-0.009751153007957036	-0.1571549288137591	-0.020579035078266535	0.05254198819791189	-0.010398342519838955	-0.012727844480012365	-0.022989845327700275	-0.025940594059405964	-0.04997712966391499	-0.07641295018174121	-0.059844406407256474	-0.058984007525870186	-0.03476353446493785	-0.1119610862515126	-0.04595313225040776
34	1/1/2009	94995	104333	82560	85819	412850	226650	321125	238675	-0.11328178931382027	-0.02761712712272113	-0.1728787814218729	-0.03844500919303063	-0.10975741239892178	0.030347619988149388	-0.17502724507684603	0.017756117180288068	-0.07847123399064848	-0.016209462015521647	-0.12894359011298373	-0.026076738758863134	-0.04558632410276919	-0.017692481587683107	-0.09856340282841161	-0.028882079373153013
35	1/1/2010	91029	99581	82388	85766	421525	233500	312900	243375	-0.025613079019073615	-0.04174956576661926	-0.08521007112712624	-0.052577447836928755	0.02101247426426056	-0.04554647139447732	-0.0442573584136637	-0.05813797420233864	0.030222810500772024	-0.000617578857828649	-0.020249545621563225	-0.010484855601170134	0.019692049858594407	-0.002083333333333326	-0.03328502886704802	-0.013272931118803233
36	1/1/2011	91614	99105	83220	85970	383500	238875	298925	244850	-0.04466283157558326	0.006426523415614893	-0.10425982368363589	-0.004401358654694607	-0.09020817270624515	-0.004780028318655205	-0.1554780053841694	-0.017371531126516526	0.0230192719486082	0.0023785649324907787	-0.02745308417372705	-0.007488711810850706	0.0060606060606061	0.010098558042433314	-0.046916472665036325	-0.0010910397430365926
37	1/1/2012	92942	99102	80999	88987	417650	261500	318050	263200	0.06397925901145762	0.014495601109000722	0.004382266903404999	0.003667719038691222	0.08904823989569755	-3.027092477669857e-05	0.023778407217773287	-0.012621773732638019	0.0947148090005232	0.03509363731534254	0.044242452878187954	0.025226360572001054	0.07494384316928726	-0.026688296082672425	0.021966764443644836	-0.03787789386814233
38	1/1/2013	96951	104266	83931	93231	473875	295875	370825	288225	0.16593302939789334	0.04313442792279054	0.10633603728984072	0.03230654585248104	0.13462229139231408	0.05210792920425411	0.06935245871438982	0.03951642639639279	0.13145315487571696	0.047692359558137776	0.08098079875338171	0.03782508281479629	0.09507978723404253	0.03619797775281186	0.04210270850840011	0.025008379967341954
39	1/1/2014	94259	103648	86103	90621	535975	306675	401450	309225	0.08258612553091083	-0.027766603748285212	0.0229891334228582	-0.03859448581859471	0.13104721709311518	-0.005927147871789495	0.06577738441519092	-0.018518650679650816	0.03650190114068441	-0.027994980210444997	-0.013970454981650837	-0.037862256953786484	0.07285974499089254	0.025878400114379696	0.019882666265250114	0.014688802328909789
40	1/1/2015	98701	107536	89150	95469	568600	315275	409150	312925	0.019180470793374038	0.047125473429592946	-0.040416521314678586	0.03629759135928345	0.06087037641681059	0.03751157764742197	-0.004399456261113668	0.024920074839560647	0.028042716230537224	0.05349753368424537	-0.022429639891798026	0.04363025694090388	0.011965397364378738	0.03538784943614037	-0.04101168136126369	0.024198251650670466
41	1/1/2016	103493	112601	92050	97885	531925	312000	432425	321400	0.05688622754491024	0.04855067324545859	-0.0027107645631423843	0.03772279117514909	-0.0645005276116778	0.047100505877101684	-0.12977036028960204	0.03450900306924036	-0.010387756720323549	0.025306644041521276	-0.0608601128426588	0.01543936729817979	0.02708316689302559	0.03252944475602915	-0.025893911832616835	0.02133984697055924
42	1/1/2017	104233	112951	92896	99707	612175	322700	451400	334425	0.04388044169509153	0.007150242045355748	-0.01571655041296109	-0.003677640024953752	0.15086713352446313	0.0031083205300130867	0.08559730084653887	-0.009483182277848234	0.034294871794871895	0.018613679317566634	-0.016177484327463354	0.008746402574225149	0.0405258245177349	0.009190657251493706	-0.012451254207907526	-0.001998940533976201
